timestamp,btc_open,btc_close,btc_volume,btc_number_of_trades,eth_open,eth_close,eth_volume,eth_number_of_trades,djia_open,djia_close,djia_volume,ixic_open,ixic_close,ixic_volume
1568070000000.0,10098.19,10158.33,31953.82456,309120,179.87,178.28,278555.4671,130317,26805.83008,26909.42969,322340000.0,8049.97998,8084.16016,2362860000.0
1568160000000.0,10158.75,10415.01,34511.16276,317881,178.3,180.72,203543.1366,102872,26928.05078,27137.03906,272590000.0,8091.68018,8169.68018,2310440000.0
1568250000000.0,10415.01,10342.06,30280.33978,304947,180.71,180.95,264422.5406,109752,27197.32031,27182.44922,250010000.0,8206.58008,8194.46973,2159260000.0
1568330000000.0,10344.13,10335.02,23621.53352,253929,180.96,188.13,279371.8342,113052,27216.66992,27219.51953,255260000.0,8190.56982,8176.70996,1976770000.0
1568420000000.0,10332.81,10302.01,18047.65401,194733,188.14,189.03,288928.6083,106052,27193.13346,27171.95312,243713333.3,8167.59326,8168.986653,1940920000.0
1568510000000.0,10303.34,10251.31,28971.40166,274368,189.05,197.22,551006.8169,166031,27169.59701,27124.38672,232166666.7,8144.6167,8161.263347,1905070000.0
1568590000000.0,10249.68,10187.82,22914.32456,287483,197.23,207.84,715863.2262,214041,27146.06055,27076.82031,220620000.0,8121.64014,8153.54004,1869220000.0
1568680000000.0,10187.48,10156.99,24250.2493,299466,207.85,210.21,539028.5101,182943,27010.11914,27110.80078,223580000.0,8148.6499,8186.02002,1850340000.0
1568760000000.0,10156.41,10244.29,44826.28258,429727,210.27,220.24,844358.8216,230867,27075.39062,27147.08008,212860000.0,8174.62012,8177.39014,2034880000.0
1568850000000.0,10243.7,10168.59,25088.49107,267032,220.26,218.03,437804.1267,133129,27186.05078,27094.78906,212360000.0,8193.58984,8182.87988,1792700000.0
1568940000000.0,10167.92,9986.39,20544.1752,245439,218.01,215.05,417891.5242,105391,27102.17969,26935.07031,497640000.0,8184.87988,8117.66992,3359380000.0
1569020000000.0,9985.15,10028.87,22049.27526,253713,215.04,211.2,445388.9479,108397,27018.60287,26940.04362,399840000.0,8158.749997,8115.933267,2832973333.0
1569110000000.0,10028.05,9702.25,31937.23236,332817,211.2,201.29,392437.0708,121866,26935.02604,26945.01692,302040000.0,8132.620113,8114.196613,2306566667.0
1569200000000.0,9702.2,8493.14,94007.3452,748712,201.25,165.81,1478218.827,383778,26851.44922,26949.99023,204240000.0,8106.49023,8112.45996,1780160000.0
1569280000000.0,8497.55,8430.05,60783.89226,544806,165.72,169.96,879001.4621,251456,27034.07031,26807.76953,301750000.0,8147.22998,7993.62988,2302600000.0
1569370000000.0,8430.05,8063.73,67930.85375,522062,169.96,165.92,779942.1715,202020,26866.71094,26970.71094,237220000.0,7990.66016,8077.37988,2015270000.0
1569460000000.0,8063.49,8177.91,43882.92463,369518,165.92,173.79,634932.9671,183611,27004.10938,26891.11914,229180000.0,8070.12012,8030.66016,1832800000.0
1569540000000.0,8177.47,8198.81,34473.60517,319113,173.83,173.49,521775.4659,159337,26987.25977,26820.25,217780000.0,8047.10986,7939.62988,2037720000.0
1569630000000.0,8199.38,8043.82,31544.21139,322501,173.5,169.24,410855.1218,136438,26942.28321,26852.44336,219413333.3,8019.43652,7959.5332,1960420000.0
1569720000000.0,8043.04,8289.34,55865.48726,455556,169.26,180.85,580295.3997,175354,26897.30664,26884.63672,221046666.7,7991.76318,7979.43652,1883120000.0
1569800000000.0,8289.97,8292.44,43479.58742,387712,180.89,175.66,609972.5272,168529,26852.33008,26916.83008,222680000.0,7964.08984,7999.33984,1805820000.0
